clone,day,media,feed,glucose_supp,naoh,hcl,titer,vcd,viability,ph,po2,pco2,glutamine,glutamate,glucose,lactate,ammonium,sodium,potassium
A,3,38.5,1.155,,,,134.8,2400000,95,6.712,170.8,14.3,0.16,6.76,3.9,1.56,2.39,119.2,6.07
A,4,39.655,,,,,275.7,3790000,95,6.766,150.3,20.6,0.26,7.32,2.66,1.87,2.83,123.1,5.45
A,5,38.155,1.5262,,,,438,4960000,96,6.904,119,18.3,0.33,7.62,2.69,2.08,2.46,128.7,5.03
A,6,39.6812,,,,,672,6000000,93,6.91,98.3,24.1,0.46,7.6,2.15,2.23,1.81,131.8,4.37
A,7,38.1812,1.90906,,,,868.8,6920000,92,6.65,125.2,37.7,1.77,8.81,1.58,3.58,1.58,141.8,4.57
A,8,40.09026,,,,,1146.6,5140000,82,6.961,102.5,26.1,0.9,7.68,2.06,3.23,1.4,146.6,3.82
A,9,38.59026,1.929513,,,,1446,4720000,76,6.961,102.5,26.1,2.09,5.63,1.92,1.81,1.4,151,3.7
A,10,40.519773,,,,,1716.3,4600000,74,7.239,152.4,23.6,2.09,6.37,2.35,3.23,1.43,154.3,4.51
A,11,39.019773,1.95098865,,,,1854,3480000,63,7.273,139.2,24.3,1.78,8.51,2.84,4.12,1.82,164,4.72
A,12,39.47076165,,,,,2028.3,3450000,58,7.253,182.3,23.9,1.64,8.78,3.16,4.54,2.07,167,4.89
A,13,37.97076165,,,,,2237.8,3200000,52,7.258,181,22.8,1.87,9.03,3.03,4.85,2.27,170.9,4.84
A,14,36.47076165,,,,,2289.8,2460000,49,7.307,181,20.7,2.09,8.57,3.45,4.85,2.27,177,4.6
B,3,38.5,1.155,,,,70.2,4000000,98,6.781,147.2,17.4,0.09,6.51,3.86,1.68,2.76,117.5,5.9
B,4,39.655,,,,,162.4,6500000,98,6.912,135.6,20.8,0.28,6.92,2.44,1.96,3,122.8,5.26
B,5,38.155,1.5262,,,,248.3,9100000,98,7.06,115.3,19.7,0.34,7.24,2.42,2.17,2.5,128.6,4.65
B,6,39.6812,,,,,354.1,10900000,96,7.089,82.1,26.5,0.42,7.28,1.64,2.39,1.68,133.8,3.89
B,7,38.1812,1.90906,,,,474.1,15100000,96,6.813,100.5,48.9,1.08,7.98,0.89,3.76,1.42,140.3,4.01
B,8,40.09026,,,,,670.1,14500000,94,7.044,44.5,29.3,0.89,6.39,1.66,2.99,1.24,145,3.36
B,9,38.59026,1.929513,,,,907.4,11800000,86,7.089,44.5,26.1,1.71,4.55,2.17,2.21,2.27,144,3.9
B,10,40.519773,,,,,1065,9260000,78,7.212,159.4,26.8,1.44,5.18,2.46,2.71,1.35,151.7,4.28
B,11,39.019773,1.95098865,,,,1163.3,7900000,74,6.646,174.4,26,1.37,6.95,2.68,3.19,1.26,160.8,4.54
B,12,39.47076165,,,,,1241.5,8130000,72,6.71,137.8,28.5,1.56,6.59,3.28,3.09,1.24,166.5,4.49
B,13,37.97076165,,,,,1370.9,8440000,66,6.453,158.2,27.7,1.85,6.6,2.63,3.36,1.16,172.8,4.58
B,14,36.47076165,,,,,1365.8,7500000,67,7.078,158.2,23.1,2.09,8.57,3.1,3.49,2.27,167,4.2
C,3,38.5,1.155,,,,100,3120000,97,6.646,164.7,14.8,0.38,6.39,4.1,1.57,2.25,118.7,6.16
C,4,39.655,,,,,214.9,5190000,98,6.71,152.5,20.3,0.49,6.92,2.8,1.85,2.7,122.5,5.58
C,5,38.155,1.5262,,,,347.5,6670000,96,6.826,162.4,17.3,0.6,7.69,2.83,2.16,2.55,130.2,5.25
C,6,39.6812,,,,,533.1,9000000,97,6.82,156.3,22.6,0.72,7.72,2.34,2.32,1.96,135,4.71
C,7,38.1812,1.90906,,,,712.9,10100000,95,6.453,110.9,38.1,2.2,8.97,1.78,3.56,1.58,140.1,4.59
